AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2020,850,8,ESCUELA JUAN LUIS SAN FUENTES,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.042721000000000,-71.04064200000001,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,851,6,ESCUELA BASICA ARTURO PEREZ CANTO,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-30.954081000000000,-71.06774100000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,852,4,ESCUELA BASICA PEDRO DE VALDIVIA,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.116980000000000,-71.16045400000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,853,2,ESCUELA DOMINGO FAUSTINO SARMIENTO,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2020,854,0,ESCUELA RAFAEL SOTOMAYOR,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.3159761,-71.05156099,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,,GRATUITO,GRATUITO
2020,856,7,ESCUELA IRENE MORALES,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.1828172,-71.12563973,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,857,5,ESCUELA LOS MORALES,,69040800,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,2,1,1,-30.898920000000000,-71.02438400000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,859,1,ESCUELA REBECA MATTE DE INIGUEZ,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-30.910450000000000,-71.18801100000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,861,3,ESCUELA BASICA MANUEL BAQUEDANO,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,862,1,ESCUELA ESTRELLA DE BELEN,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.055670000000000,-70.89394400000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,864,8,ESCUELA BASICA VIOLETA PARRA SANDOVAL,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.241550000000000,-71.01577800000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,865,6,ESCUELA BASICA DANIEL BARROS GREZ,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.085569000000000,-71.21302799999999,1,110,0,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,866,4,ESCUELA BASICA OSCAR CASTRO ZUNIGA,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.17784473,-71.00208788,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,SIN INFORMACION
2020,867,2,ESCUELA SAN JUDAS TADEO DE CARCAMO,,69040800,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,2,1,1,-30.9425464,-70.89971775,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,868,0,ESCUELA AMERICA DE SUR,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.203791000000000,-70.97875999999999,1,110,0,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,869,9,ESCUELA BASICA REBECA PONCE DE LEON V.,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.073990000000000,-71.14163200000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
2020,870,2,ESCUELA BASICA CAMILO HENRIQUEZ GONZALEZ,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.261410000000000,-71.00153400000001,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,871,0,ESCUELA BASICA LUIS ENRIQUE BOU PEREZ,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.103809000000000,-70.92051700000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,872,9,ESCUELA BASICA ROSITA OHIGGINS,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.108820000000000,-71.11036700000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,SIN INFORMACION
2020,874,5,ESCUELA BASICA LAURITA VICUNA,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.23446,-71.04401,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,875,3,ESCUELA BASICA PEDRO LIRA RENCORET,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.000389000000000,-70.90685300000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,876,1,ESCUELA BASICA CLAUDIO MATTE,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-30.949610000000000,-71.18884300000001,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,878,8,ESCUELA JOSE JOAQUIN VALLEJOS,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.06631848,-71.19846872,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,879,6,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.030649000000000,-71.17722300000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,881,8,ESCUELA BASICA MARIA QUITERIA RAMIREZ,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2020,882,6,ESCUELA CINCO DE ABRIL,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.17784473,-71.00208788,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,NO REALIZA,GRATUITO,GRATUITO
2020,883,4,ESCUELA BASICA SAN LUIS AMIGO Y FERRER,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-30.94961,-71.18884,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2020,884,2,ESCUELA BASICA JUAN FRANCISCO GONZALEZ,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.35436,-71.02535,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,GRATUITO,GRATUITO
2020,885,0,ESCUELA BASICA JESUS DE NAZARETH,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2020,886,9,ESCUELA LA VARIOLA,,69040800,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,2,1,1,-30.945471000000000,-70.90210700000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,887,7,ESCUELA BASICA CAUPOLICAN,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.200331000000000,-70.96785000000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,888,5,ESCUELA BASICA BOSQUE DE QUILLAY,,69041100,1,4,COQ,43,4302,COMBARBALÁ,42,LIMARÍ,2,1,1,-31.223150000000000,-70.93997200000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
